question,answer
What do river otters eat?,"River otters eat a variety of fish and shellfish, as well as small land mammals and birds. "
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,roadkill deaths
What is one of the challenges of re-establishing a population of Eurasian otters in the UK?,Roadkill deaths have become one of the significant threats to the success of their re-establishment. 
What religion do most Uruguayans profess?,Roman Catholic
What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish"
What religions are found in Uruguay?,"Roman Catholic, Protestant, Jewish, and nonprofessing."
Why doesn't Romania have a state religion?  ,Romania is a secular state
What is the official language of Romania?,Romanian
What is the official language of Romania?,Romanian.
What are vehicles that frequent isolated roads often fitted with?,roo bars
What are vehicles that frequent isolated roads often fitted with?,roo bars
What is used to protect a vehicale from a Kangaroo?,roo bars
What did Roosevelt do to improve his physical condition?,Roosevelt took up exercise
What is the largest country in the world?,Russia.
Name a turtle popularly kept as a pet.,Russian Tortoises
Name a turtle popularly kept as a pet.,Russian Tortoises
Where is Uruguay's oldest church?,"San Carlos, Maldonado"
Where is Uruguay's oldest church?,"San Carlos, Maldonado"
Where is Uruguay's oldest church?,"San Carlos, Maldonado"
Where is Uruguay's oldest church?,"San Carlos, Maldonado."
Where do sea otters live?,Sea otters (Enhydra lutris) live along the Pacific coast of North America. 
Why are sea otters nearly extinct?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them"
What drives sea otter almost to extinction?,"Sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. "
When is the first record of S08_settlement in Singapore?,second century AD
When did Qatar become an independent state?,"September 3, 1971."
How old was Lincoln in 1816?,seven
Where did Orang Laut people live?,"Several hundred indigenous Orang Laut people also lived around the coast, rivers and smaller islands."
Sea otters eat what?,Shellfish and other invertebrates
Did Horace Greenley lose in the presidential elections of 1872?,si
What became one of the most important commercial and military centres of the British Empire?,Singapore
Where is the National Orchid Garden?,Singapore Botanic Gardens.
How is Singapore's climate characterized?,Singapore has a tropical rainforest climate with no distinctive seasons.
How many days did it take the Imperial Japanese Army to win the Battle of Singapore?,Six days
How many children did Grover Cleveland have?,Six.
What did Taylor and Fillmore disagree upon?,slavory issues
What makes penguins so agile in the water?,"Smooth plumage preserves a layer of air, ensuring buoyancy, wings are flippers"
Are ducks in the Arctic Northern Hemisphere migratory?,Some are
What do beetles eat?,"Some are generalists, eating both plants and animals. Other beetles are highly specialised in their diet."
Is the Asian elephant larger than the African?,Sometimes
Which county was Lincoln born in?,"Southeast Hardin County, Kentucky"
Where is the leopard distributed?,southern Eurasia and Africa
Where is the leopard distributed?,"southern Eurasia and Africa, from Korea to South Africa and Spain"
What is Monroe's father's name?,Spence
What is Monroe's father's name?,Spence Monroe.
What order do penguins belong to?,Sphenisciformes
What order do penguins belong to?,Sphenisciformes
The eggs of the largest species are what?,spherical
What shape are the eggs of the larest species of turtle?,Spherical
What shape are the eggs of the larest species of turtle?,spherical
Where was Woodrow Wilson born?,"Staunton, Virginia"
What is surplus killing?,Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.
What is the national currency of Liechtenstein?,Swiss franc
What is the national currency of Liechtenstein?,Swiss franc
What countries border Liechtenstein?,Switzerland and Austria
What countries border Liechtenstein?,Switzerland and Austria.
What did Taylor and Fillmore disagree upon?,Taylor and Fillmore disagreed on the slavery issue in the new western territories taken from Mexico in the Mexican-American War
What are the elephant's ears important for?,temperature regulation
What are the elephant's ears important for?,temperature regulation
How many provinces and territories does Canada have?,Ten provinces and three territories
What did Cleveland's opponents say in 1884 to counter his innocent image?,That he had fathered an illegitimate child
What did Cleveland's opponents say in 1884 to counter his innocent image?,that he had fathered an illegitimate child while he was a lawyer in Buffalo
What was Roosevelt's justification for supporting desegregation of schools in New York?,that his children had been educated with other races and there was nothing wrong with it
What did Jefferson call John Adams?,"The ""Colossus of Independence""."
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties"""
How many living species of African Elephants are there?,"The African Elephant genus contains two (or, arguably, three) living species."
Where was James Monroe shot?,The Battle of Trenton
What did Aristotle say about elephants?,the beast which pasS08_seth all others in wit and mind
What was the Consitution Act formerly called?,The British North America Act.
What carried with it a tacit recognition of Qatar's status as distinct from Bahrain?,The British Protectorate (per Colonel Lewis Pelly) asking to negotiate with a representative from Qatar after Bahrain's violation of the 1820 Anglo-Bahraini Treaty.
"Why Churchill called the occupation of Singapor by Janpan during WWII ""Britain's greatest defeat""?",The British were defeated in six days
What is the capital city?,The capital city is Helsinki. 
What is named after him?,The Celsius crater on the Moon
What is the biggest city in Finland?,the cities of the Greater Helsinki metropolitan area
What is responsible for converting the hydrogen byproduct of fermentation into acetate?,The digestive system of a kangaroo
What animal attracts the most humor and silliness?,The duck
What animal attracts the most humor and silliness?,the duck
What land animal has the largest brain?,The elephant
What is the largest living species of penguin?,the Emperor Penguin (Aptenodytes forsteri)
When did Islam become the dominant religion in Java and Sumatra?,the end of the 16th century
"What dwindled and eventually died out, starting with the Hartford Convention?",The Federalist Party
With what party did Adams run for presidency?,The Federalist Party
With what party did Adams run for presidency?,The Federalist Party
What was Adams' political party?,The Federalist Party.
What arrived in Britain?,The first Canadian Army units in WW II
When is the first record of S08_settlement in Singapore?,The first records of S08_settlement in Singapore are from the second century AD.
What was Canada's most important industry until the 1800s?,The fur trade
Why did Lincoln issue the Emancipation Proclamation?,"The goal was to weaken the rebellion, which was led and controlled by slave owners."
How much increase in the media's contribution to GDP is the government seeking?,The government seeks to increase its GDP contribution to 3% by 2012. 
How much increase in the media's contribution to GDP is the government seeking?,the government seeks to increase its GDP contribution to 3% by 2012. 
What body of water lies to the south of Finland?,the Gulf of Finland
What are the three sections of a beetle?,"the head, the thorax, and the abdomen"
What are the three sections of a beetle?,"The head, the thorax, and the abdomen"
What happens when the srivijaya kingdom formed trade links?,The indonesian archipelago became an important trade region
What are the largest and politically dominant ethnic group?,the Javanese
What is surplus killing?,the killing of several prey animals too numerous to eat at one sitting
What completed in November?,the Kunstmuseum Liechtenstein
What have been inhabited for millennia by aboriginal peoples?,The lands
What part of an elephant is very important for temperature regulation?,The large flapping ears of an elephant are also very important for temperature regulation.
Where was the largest elephant ever recorded shot?,The largest elephant ever recorded was shot in Angola in 1956.
How does the distribution size of the leopard compare to the distribution of other wild cats?,the leopard had the largest distribution of any wild cat.
What is the difference between leopards and cheetahs?,The leopard has roS08_settes rather than cheetah's simple spots and the leopard is larger and less lanky than the cheetah.
What is the difference between leopards and cheetahs?,"The leopard has roS08_settes rather than cheetah's simple spots, but they lack internal spots, unlike the jaguar. The leopard is larger and less lanky than the cheetah but smaller than the jaguar."
What centred in Sierra?,The leopard men
What resembles that of the similarly-sized cougar in the Americas?,The leopard's ecological role
"What happened in moravia , lower austria , silesia , and styria , though in all cases , these territories were held in fief under other more senior feudal lords?",The Liechtenstein Dynasty acquired vast swaths of land
What did Canada adopt in 1965?,The Maple Leaf Flag
How do kwajalein and eniwetok relate?,The Monterey supported landings at both locations.
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
Where is the most densely populated part of Canada?,The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.
What was given by Aristotle for the hardened shield like forewings?,"The name ""Coleoptera""."
What is the national language of Singapore?,The national language of Singapore is Malay.
During what period was Akhenaten a Pharaoh?,The New Kingdom
During what period was Akhenaten a Pharaoh?,The New Kingdom (c.1550&#8722;1070 BC) 
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
Who makes up Ghana's Parliament?,the New Patriotic Party and National Democratic Congress
Why does most of Egypt's population live near the Nile?,The only arable agricultural land is found there
Why does most of Egypt's population live near the Nile?,"the only arable agricultural land is found there,"
Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?,The pack tension rises as each mature wolf feels urged to mate
What happened with a bromide emulsion in two sheets of very thick black paper?,the plate does not become clouded upon being exposed to the sun for a day
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear about 200 thousand years ago.
What do fossil and DNA evidence tell us?,The polar bear diverged from the brown bear roughly 200 thousand years ago.
What is the primary domestic source of water supply?,The primary domestic source of water supply in Singapore is rainfall.
What are four species that are commonly referred to as kangaroos?,"The Red Kangaroo, The Eastern Grey Kangaroo, The Western Grey Kangaroo, and The Antilopine Kangaroo"
"What are approximately 42,000 years old and have been nicknamed`` John of Anina''?",the remains (the lower jaw) of the oldest modern human
What period of rapid economic growth did the United States experience during Coolidge's presidency?,the Roaring Twenties
What happened in 1745?,The scale was reversed
Where do sea otters live?,The sea otter lives actually in the sea. 
How are otters playful animals?,"The slide down snowy slopes, apparently for sheer enjoyment.  "
What is the name of a specialized species of duck adapted to catch large fish?,the smew
Why wasn't Romania neutral during World War II?,The Soviets threatened invasion.
Who founded Montevideo?,the Spanish
Who founded Montevideo?,The Spanish.
What are some extinct predators of the kangaroo?,The Thylacine
Why otters are considered as totem animals?,"The time of year associated with this is also associated with the Aquarius sign of the Zodiac, through which the sun passes January 20-February 19. "
Where did Coolidge's grandfather had government offices?,The town of Plymouth Notch
Why do kangaroos have a wide bite?,The two sides of the lower jaw are not joined together and the lower incisors are farther apart.
What European countries established states in Ghana?,The UK
What did The Legal Tender Act of 1862 establish?,"the United States Note, the first paper currency in United States history"
What did The Legal Tender Act of 1862 establish?,"The United States Note, the first paper currency in United States history."
Why are side-necked turtles called side-necked turtles?,The way they withdraw their heads into their shells.
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. "
"Where does the word ""otter"" derive from?","The word ""otter"" derives from the Old English word otr, otor or oter. This and cognate words in other Indo-European languages ultimately stem from a root which also gave rise to the English words ""water"", ""wet"" and ""winter"". "
Why polar bear is a special species?,"The World Conservation Union listed polar bears as a vulnerable species, one of three sub-categories of threatened status, in May 2006. Their latest estimate is that 7 out of 19 subpopulations are declining or already severely reduced."
What is the world population of Asian elephants?,"The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000"
How can beetle larvae be differentiated from other insect larvae?,"their hardened, often darkened head, the presence of chewing mouthparts, and spiracles along the sides of the body"
"What do kangaroos use for ""crawl-walking?""",Their hind feet and their tails
Why are ducklings particularly vulnerable?,their inability to fly makes them easy prey
Why are ducklings particularly vulnerable?,Their inability to fly.
What makes penguins so agile in the water?,Their wings have become flippers
What is the punishment for first-degree murder?,There are laws which allow capital punishment in Singapore for first-degree murder and drug trafficking.
What happened in these positions in english?,These allophones cannot occur there.
What economic uses to ducks have?,"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos."
What happened on plants and fungi?,They are food to beetles.
What makes it more difficult for a diving duck to fly?,They are heavier
What makes it more difficult for a diving duck to fly?,they are heavier
What do most recognizable international company and largest employer have in common?,They are Hilti.
What economic uses to ducks have?,"They can be farmed for meat, eggs, and feathers"
"Did Grant & Perkins not sell harnesses , saddles , and other leather goods and purchase hides from farmers in the prosperous Galena area ?",they did
Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?,They did claim Ford's pardon was quid pro quo.
What has been discovered about turtles organs?,they do not break down
What has been discovered about turtles organs?,They do not gradually break down or become less efficient over time
How much weight do female polar bears gain during pregnancy?,They double their weight during pregnancy
What do with greenpeace and the natural resources defense council have in common?,They filed lawsuits in California.
How much weight do female polar bears gain during pregnancy?,They gain double their weight.
How are Isabelline penguins different from most penguins?,they have brown rather than black plumage
How do turtles reproduce?,They lay eggs
How do turtles reproduce?,they lay eggs
Do wolves leave their pack?,They leave their birth pack when they reach sexual maturity
What do beetles eat?,"They often feed on plants and fungi, break down animal and plant debris, and eat other invertebrates"
How did newspapers respond to Roosevelt inviting Brooker T. Washington to dinner at the White House?,They outraged.
How are otters playful animals?,They slide repeatedly down snowy slopes for sheer enjoyment.
What happens when mothers lose a chick?,"They sometimes attempt to ""steal"" another chick."
The bears sometimes what?,They sometimes have problems with various skin diseases with dermatitis caused sometimes by mites or other parasites.
How much time to penguins spend on land?,They spend half of their life on land.
Who were the midnight judges?,"They were a series of judges, so called because most of them were formally appointed days before Adams' presidential term expired"
Who were the midnight judges?,They were judges formally appointed days before Adams term expired
How did the supporters of Henry Clay feel about Fillmore in 1848?,they were ok with him
Why are sea otters nearly extinct?,They've been hunted for their fur
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman"
Who was on the committee with Adams to draft  a Declaration of Independence?,"Thomas Jefferson, Benjamin Franklin, Robert R. Livingston and Roger Sherman."
How many species of African elephants have been proposed?,three
How many species of African elephants have been proposed?,three
How many suborders are turtles divided into?,three
How many suborders are turtles divided into?,Three.
What are some extinct predators of the kangaroo?,"Thylacine, Marsupial Lion, Maagalania, and Wonambi"
What allows a duck to filter water out of the side of their beaks and keep food inside?,Tiny rows of plates called lamellae
What allows a duck to filter water out of the side of their beaks and keep food inside?,tiny rows of plates called lamellae like a whale's baleen
Why did Cleveland want to hide his cancer surgery from the public?,To avoid further market panic
What does the word duck mean?,to bend down low as if to get under something
Why did Roosevelt start Boxing lessons?,To deal with bullies
Why did Roosevelt start Boxing lessons?,To deal with bullies
Why did Lincoln issue the Emancipation Proclamation?,To free slaves 
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
To whom was Millard Fillmore born to?,to Nathaniel and Phoebe Millard Fillmore
Why do wolves howl?,"To pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances"
"What is ""tobogganing""?",Tobogganing is when penguins slide on their bellies across the snow.
Was Wilson a member of the Phi Kappa Psi fraternity?,Totally.\t
What kinds of coats do wolves have?,"Tough guard hairs that repel water and dirt, and a dense, water-resistant layer"
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
Name four related articles for the article on turtles.,"Triassic, Ernst Haeckel, Kunstformen der Natur, Animal"
When did the first verifiable written documents appear?,Twelfth Century
How many times has Uruguay won the World Cup?,Twice. 
What did James Monroe make in 1817?,two long tours
What percentage of Liechtenstein's population is foreign-born?,two-thirds
How much do wolves weigh?,typically varies between 32 and 62 kilograms
Where is Adams buried?,United First Parish Church
Where is Adams buried?,United First Parish Church
Where did Wilson attend law school?,University of Virginia
When did he drop John from his name?,upon graduating from college
When did he drop John from his name?,Upon graduating from college
How did Fillmore ascend to the presidency?,"upon the death of the sitting president, Taylor"
How do india and latin america relate?,Uruguay exports architectural services to India and Latin America
Why was the capital of Uruguay founded?,"Uruguay's capital, Montevideo, was founded by the Spanish in the early 18th century as a military stronghold."
What has Uruguay done to be competitive in agriculture?,"Use low inputs of labour, technology, and capital, which results in lower yields but also opens the door for Uruguay to market its products as ""natural"" or ""ecological"""
Which state were Coolidge born in?,Vermont
Who also discovered that less than three percent of kangaroos exposed to the virus developed blindness ?,Veterinarians
What is the weather like at Lake Volta?,Warm and comparatively dry
What is the weather like at Lake Volta?,warm and comparatively dry
What does the word Ghana mean?,warrior king
What does the word Ghana mean?,Warrior King
Where is Wilson buried?,Washington National Cathedral
"Four years after opening his shop , Watt began what?","Watt began to experiment with steam after his friend, Professor John Robison, called his attention to it."
What animals are related to otters?,"weasels, polecats, and badgers"
Who got Seward elected to the senate?,Weed
Who got Seward elected to the senate?,Weed ultimately got Seward elected to the senate
Where was James Monroe born?,"Westmoreland County, Virginia"
Where was James Monroe born?,"Westmoreland County, Virginia"
"What is ""tobogganing""?",when penguins slide on their bellies across the snow
When do African elephants lie down?,when they are sick or wounded
How long after the death of his first wife did Fillmore marry Caroline McIntosh?,where is the death date of his first wife?
What is Canada's national unemployment rate?,"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador. "
What is polar bear's skin color?,white or cream
What lived in Columbia?,Wilson
Where did Wilson attend law school?,Wilson attended law school at University of Virginia
Where was Woodrow Wilson born?,"Woodrow Wilson was born in Staunton, Virginia"
What caused Wilson to ask Congress to declare war on the Central Powers?,World War I
When did Canada have one of the largest armed forces in the world?,World War II.
Did Wilson's father own slaves?,Yeah
"According to Reader's Digest, is Finland best for living?",Yes
"According to Reader's Digest, is Finland best for living?",Yes
Are a wolf's teeth its main weapons?,Yes
Are a wolf's teeth its main weapons?,Yes
Are adult ducks fast fliers?,Yes
Are adult ducks fast fliers?,Yes
Are all penguins countershaded?,Yes
Are beetles endopterygotes?,yes
Are beetles endopterygotes?,yes
Are beetles insects?,Yes
Are beetles insects?,Yes
Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?,yes
Are Canada 's two official languages English and French ?,yes
Are certain species of beetles considered pests?,Yes
Are certain species of beetles considered pests?,yes
Are Cubs born in December without awakening the mother ?,yes
Are diving ducks heavier tha dabbling ducks?,Yes
Are diving ducks heavier tha dabbling ducks?,Yes
Are ducks an accepted presence in some populated areas?,Yes
Are ducks an accepted presence in some populated areas?,Yes
Are ducks in the Arctic Northern Hemisphere migratory?,yes
Are elephant populations in West Africa generally small and fragmented?,yes
Are elephant populations in West Africa generally small and fragmented?,Yes
Are elephants good swimmers?,yes
Are elephants good swimmers?,yes
Are elephants mammals?,yes
Are elephants mammals?,Yes
Are elephants the largest land animals alive today?,yes
Are elephants the largest land animals alive today?,yes
Are Gray Wolves native to North America?,Yes
"Are his last words often quoted as "" Thomas Jefferson survives "" . ?",yes
Are Immature sea turtles not cared for by the adults ?,yes
Are kangaroos and wallabies adept swimmers?,yes
Are Kangaroos Shy?,Yes
Are large pythons potential prey for leopards?,yes
Are large pythons potential prey for leopards?,Yes
"Are Male otters dog-otters , females are bitches and babies are cubs or pups ?",yes
Are male otters dog-otters?,yes
Are nationals referred to by the plural : Liechtensteiners ?,Yes
Are otters playful animals?,yes
Are otters totem animals?,Yes
Are otters very active?,yes
Are penguins at risk?,Yes
Are penguins birds?,yes
Are penguins birds?,Yes
"Are penguins considered ""higher waterbirds""?",yes
"Are penguins considered ""higher waterbirds""?",Yes
Are Pleurodira known as side-necked turtles?,Yes
Are Pleurodira known as side-necked turtles?,yes
Are polar bears excellent swimmers?,yes
Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?,yes
Are Sports in Indonesia generally male-orientated?,yes
Are the Javanese the largest and politically dominant ethnic group in Indonesia?,yes
Are the Javanese the largest and politically dominant ethnic group in Indonesia?,Yes
Are the largest turtles aquatic?,yes
"Are the Pleurodira sometimes known as the side-necked turtles , a reference to the way they withdraw their heads into their shells ?",yes
Are there cathedrals scattered all across Finland?,Yes
Are there cathedrals scattered all across Finland?,Yes
Are turtle eggs leathery and soft?,Yes
Are turtle eggs leathery and soft?,yes
Are turtles being examined for longevity genes?,Yes
Are turtles being examined for longevity genes?,yes
Are turtles ectothermic?,Yes
Are turtles ectothermic?,yes
Are turtles ectothermic?,yes
Are turtles pets?,Yes
Are turtles pets?,yes
Are wild kangaroos shot for meat?,yes
Are wild kangaroos shot for meat?,Yes
Are wolves built for stamina?,Yes
Are wolves built for stamina?,Yes
Can a panther be any of several species of large felid?,Yes
Can an elephant kill a rhinoceros?,yes
Can an elephant kill a rhinoceros?,yes
Can citizens propose changes to the Constitution?,Yes
Can larger penguins dive deep in case of need ?,Yes
Can otters survive in cold water?,yes
Can otters survive in cold water?,Yes
Can the title of this famous 1811 paper be roughly translated into english?,yes
Can these allophones not occur in these positions in english?,yes
Can turtles take many years to reach breeding age ?,yes
Can women legally drive in Qatar?,yes
Did Abraham Lincoln live in the Frontier?,Yes
Did Canadian soldiers win the Battle of Vimy Ridge in 1917?,Yes
"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?",yes
Did Coolidge get in Amherst College?,Yes
Did Coolidge get in Amherst College?,Yes
Did Coolidge graduate from Black River Academy?,yes
Did Coolidge graduate from Black River Academy?,Yes
Did Coolidge meet and marry Grace Anna Goodhue?,Yes
Did Coolidge meet and marry Grace Anna Goodhue?,yes
Did Fillmore run for President a second time?,Yes
Did ford attend the University of Michigan?,Yes
Did ford attend the University of Michigan?,Yes
"Did ford get an award called ""Congressman's congressman""?",Yes
Did Ford need to do extra work to pay for college?,yes
Did Ford need to do extra work to pay for college?,yes
Did France cede nearly all of its colonies in Europe in 1763?,yes
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?,yes
Did Grover Cleveland win the 1884 election?,yes
Did Grover Cleveland win the 1884 election?,yes
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",Yes
"Did he die at 11:10 p.m. on March 8, 1874, of the after-effects of a stroke?",yes
"Did he not cast his ballot for John M. Palmer , the presidential candidate of the National Democratic Party , or Gold Democrats , a short-lived party that supported a gold standard , low tariffs , and limited government ?",Yes
Did Horace Greenley lose in the presidential elections of 1872?,Yes
Did James Monroe attend the College of William and Mary?,yes
Did James Monroe attend the College of William and Mary?,Yes
Did James Monroe fight in the Continental Army?,yes
Did James Monroe fight in the Continental Army?,Yes
Did John Adams go to Harvard? ,yes
Did John Adams go to Harvard? ,Yes
Did John Adams represent the Continental Congress in Europe?,yes
Did Lincoln beat John C. Breckinridge in the 1860 election?,yes
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
Did Lincoln ever represent Alton & Sangamon Railroad?,Yes
Did lincoln have 18 months of schooling?,Yes
Did Lincoln sign the National Banking Act of 1863?,yes
Did Lincoln start his political career in 1832?,Yes
Did Lincoln start his political career in 1832?,Yes
Did Lincoln win the election of 1860?,Yes
Did Lincoln win the election of 1860?,Yes
Did Lincoln's Wife's Family support slavery?,Yes
Did Monroe' wedding happen at the Trinity Church in New York?,Yes
Did Monroe' wedding happen at the Trinity Church in New York?,Yes
Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?,yes
Did Romania declare neutrality during World War I?,yes
Did Romania declare neutrality during World War I?,Yes
Did Roosevelt receive a Medal of Honor?,yes
Did Roosevelt study biology?,yes
Did Roosevelt support racial integration in schools?,yes
Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?,yes
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,yes
Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?,Yes
"Did the Qataris not choose as their negotiator the respected entrepreneur and long-time resident of Doha , Muhammed bin Thani ?",Yes
Did the scientific community not reserve great attention to his theory ?,yes
"Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?",yes
Did Theodore Roosevelt go to Harvard?,Yes
Did Theodore Roosevelt go to Harvard?,Yes
Did Ulysses win the Battle of Champion Hill?,Yes
Did Uruguay host the first ever World Cup?,Yes
"Did Webster write, ""I can now sleep of nights""?",Yes
Did Wilson have any siblings?,yes
Did Wilson not spend 1914 through the beginning of 1917 trying to keep America out of the war in Europe ?,Yes
Did Wilson's father own slaves?,yes
Did Woodrow Wilson create the League of Nations?,yes
Did Woodrow Wilson create the League of Nations?,Yes
Do beetles antennae function primarily as organs of smell?,Yes
Do beetles antennae function primarily as organs of smell?,Yes
Do ducks forage underwater?,yes
Do kangaroos eat plants?,yes
Do kangaroos eat plants?,Yes
Do nearly all Qataris profess Islam?,yes
Do otters live in water?,yes
Do penguins feed on krill?,yes
Do penguins feed on krill?,yes
Do penguins have a better than average sense of hearing for birds?,yes
Do penguins live almost exclusively in the Southern Hemisphere?,yes
Do penguins live almost exclusively in the Southern Hemisphere?,yes
Do scholars rank lincoln among the top three presidents?,Yes
Do sea otters live along the Pacific coast?,Yes
Do sea otters live along the Pacific coast?,Yes
Do sea turtles lay eggs on dry sandy beaches?,Yes
Do sea turtles lay eggs on dry sandy beaches?,yes
Do singaporeans enjoy squid?,yes
Do they prefer forested areas?,Yes
Do they prefer forested areas?,Yes
Do wolf pups tend to have darker fur than adults?,Yes
Do wolves leave their pack?,Yes
Do women live longer than men?,Yes
Do women live longer than men?,Yes
Does a male leopard weigh more than a female leopard?,yes
Does a male leopard weigh more than a female leopard?,yes
Does a polar bear live in the Arctic?,yes
Does a polar bear live in the Arctic?,Yes
Does Egypt have political influence in the Middle East?,yes
Does Egypt have political influence in the Middle East?,Yes
Does Egypt receive the least rainfall in the world?,Yes
Does Egypt's foreign policy operates along moderate lines?,Yes
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
Does Ghana have twice the per capita output of the poorer countries in West Africa?,yes
Does it have a border with Norway?,yes
Does it have a border with Norway?,Yes
Does Romania border Hungary?,yes
Does Romania share a border with Ukraine?,yes
Does Romania share a border with Ukraine?,Yes
Does Romania share the same language with Moldova?,yes
Does salmon remain the favorite of fly rod enthusiasts?,Yes
Does salmon remain the favorite of fly rod enthusiasts?,Yes
Does snow fall in Egypt?,Yes
Does the Gray Wolf share an ancestry with the domestic dog?,Yes
"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",yes
Does the state court rule on the conformity of laws?,Yes
Does Theodore Roosevelt have a brother?,Yes
Does Theodore Roosevelt have a brother?,Yes
Does Uruguay recognize same-sex civil unions?,Yes
Does Uruguay recognize same-sex civil unions?,Yes
Had Ford's wife married before?,Yes
Had he smoked only sporadically ?,yes
Had Monroe racked up many debts during his years of public life ?,yes
Had Monroe racked up many debts during his years of public life ?,yes
Has Indonesia the world 's largest Muslim population ?,yes
"Has it been created with a long term perspective to support the development of Qatar and the wider region , develop local and regional markets , and strengthen the links between the energy based economies and global financial markets ?",Yes
Has Leichtenstein worked to promote the county's image by prosecuting international money-laundering?,Yes
Has Qatar a modern Telecommunication system centered in Doha ?,Yes
Has Sang Nila Utama visited Singapore?,yes
Has Singapore a network of reservoirs and water catchment areas ?,Yes
Has Singapore Changi Airport a network of 81 airlines connecting Singapore to 185 cities in 58 countries ?,Yes
Has the New Zealand Rugby League featured the Otahuhu Leopards and then the Tamaki Leopards ?,Yes
Has this inspired genetic researchers to begin examining the turtle genome for longevity genes ?,yes
"Has Urbanization eliminated many areas of former primary rainforest , with the only remaining area of primary rainforest being Bukit Timah Nature Reserve ?",Yes
Have elephants been used as working animals?,yes
Have elephants been used as working animals?,Yes
Have Kangaroos dazzled by headlights or startled by engine noise been known to leap in front of cars ?,yes
Have kangaroos fared well since European S08_settlement?,yes
Have kangaroos fared well since European S08_settlement?,Yes
"Have kangaroos large , powerful hind legs , large feet adapted for leaping , a long muscular tail for balance , and a small head ?",yes
Have larger kangaroos adapted much better to changes?,yes
"Have most otters fish as the primary item in their diet , supplemented by frogs , crayfish and crabs ?",yes
Have penguins an average sense of hearing for birds ?,Yes
Have thumbpolar bears been made both controversial and famous for their distinctive white fur and their habitat ?,yes
Is a beetle's general anatomy uniform?,Yes
Is a beetle's general anatomy uniform?,yes
Is a collision with a vehicle capable of killing a kangaroo ?,yes
Is a drake a male?,Yes
Is a drake a male?,yes
"Is a kangaroo a marsupial from the family macropodidae -LRB- macropods , meaning (`` ` large foot ('' ' -RRB-?",yes
Is a Kangaroo a Marsupial?,Yes
Is a kangaroo on the Australian coat of arms?,yes
Is a kangaroo on the Australian coat of arms?,Yes
Is a leopard larger and less lanky than a cheetah?,yes
Is a leopard larger and less lanky than a cheetah?,Yes
Is a polar bear at high risk of extinction?,yes
Is a polar bear at high risk of extinction?,Yes
Is a polar bear white in color?,yes
Is a polar bear white in color?,Yes
Is Adams' birthplace part of a national park?,yes
Is Adams' birthplace part of a national park?,Yes
Is an Asian elephant smaller than an African elephant?,yes
Is an Asian elephant smaller than an African elephant?,Yes
Is an elephant's skin tough?,yes
Is an elephant's skin tough?,Yes
Is an otter 's den called a holt ?,yes
